SampleID,populations
PF0730-C_maj,Ghana
PF0733-C_maj,Ghana
PF0737-C_maj,Ghana
PF0738-C_maj,Ghana
PF0742-C_maj,Ghana
PF0747-C_maj,Ghana
PF0748-C_maj,Ghana
PF0754-C_maj,Ghana
PF0759-C_maj,Ghana
PF0761-C_maj,Ghana
PF0763-C_maj,Ghana
PF0767-C_maj,Ghana
PF0768-C_maj,Ghana
PF0769-C_maj,Ghana
PF0773-C_maj,Ghana
PF0778-C_maj,Ghana
PF0780-C_maj,Ghana
PF0782-C_maj,Ghana
PF0783-C_maj,Ghana
PF0785-C_maj,Ghana
PF0786-C_maj,Ghana
PF0789-C_maj,Ghana
PF0798-C_maj,Ghana
PF0802-C_maj,Ghana
PF0803-C_maj,Ghana
PF0809-C_maj,Ghana
PF0811-C_maj,Ghana
PF0816-C_maj,Ghana
PF0817-C_maj,Ghana
PF0818-C_maj,Ghana
PF0820-C_maj,Ghana
PF0822-C_maj,Ghana
PF0823-C_maj,Ghana
PH0047-Cx,Cambodia
PH0051-Cx,Cambodia
PH0052-C_maj,Cambodia
PH0055-C,Cambodia
PH0057-C,Cambodia
PH0059-C,Cambodia
PH0060-C_maj,Cambodia
PH0064-C,Cambodia
PH0157-C,Cambodia
PH0161-C,Cambodia
PH0163-C,Cambodia
PH0164-C,Cambodia
PH0165-C,Cambodia
PH0167-C,Cambodia
PH0169-C,Cambodia
PH0171-C,Cambodia
PH0172-C,Cambodia
PH0173-C,Cambodia
PH0191-C,Cambodia
PH0192-C,Cambodia
PH0193-C,Cambodia
PH0194-C,Cambodia
PH0197-C,Cambodia
PH0198-C,Cambodia
PH0199-C,Cambodia
PH0200-C,Cambodia
PH0201-C,Cambodia
PH0203-C,Cambodia
PH0206-C,Cambodia
PH0207-C,Cambodia
PH0208-C,Cambodia
PH0209-C,Cambodia
PH0210-C,Cambodia
PH0212-C,Cambodia
PH0213-C,Cambodia
PH0238-C,Cambodia
PH0239-C,Cambodia
PH0240-C,Cambodia
PH0241-C,Cambodia
PH0243-C,Cambodia
PH0244-C,Cambodia
PH0245-C,Cambodia
PH0246-C,Cambodia
PH0247-C,Cambodia
PH0248-C,Cambodia
PH0249-C,Cambodia
PH0250-C_maj,Cambodia
PH0251-C,Cambodia
PH0252-C_maj,Cambodia
PH0253-C,Cambodia
PH0274-C_maj,Cambodia
PH0283-C,Cambodia
PH0284-C,Cambodia
PH0285-C_maj,Cambodia
PH0294-C,Cambodia
PH0297-C,Cambodia
PH0300-C,Cambodia
PH0303-CW,Cambodia
PH0304-C_maj,Cambodia
PH0305-C,Cambodia
PH0306-C,Cambodia
PH0307-C,Cambodia
PH0308-CW,Cambodia
PH0321-C,Cambodia
PH0322-C,Cambodia
PH0324-C_maj,Cambodia
PH0325-C,Cambodia
PH0326-C,Cambodia
PH0327-C,Cambodia
PH0328-C_maj,Cambodia
PH0329-C,Cambodia
PH0335-C,Cambodia
PH0336-C_maj,Cambodia
PH0337-C,Cambodia
PH0338-C,Cambodia
PH0339-C,Cambodia
PH0342-C,Cambodia
PH0343-C,Cambodia
PH0344-C,Cambodia
PH0346-C,Cambodia
PH0347-C,Cambodia
PH0348-C,Cambodia
PH0349-C,Cambodia
PH0350-C,Cambodia
PH0351-C_maj,Cambodia
PH0352-C,Cambodia
PH0353-C,Cambodia
PH0354-C,Cambodia
PH0355-C,Cambodia
PH0356-C,Cambodia
PH0357-C_maj,Cambodia
PH0358-C,Cambodia
PH0359-C,Cambodia
PH0360-C,Cambodia
PH0361-C,Cambodia
PH0362-C,Cambodia
PH0363-C,Cambodia
PH0364-C,Cambodia
PH0367-C,Cambodia
PH0370-C,Cambodia
PH0372-C_maj,Cambodia
PH0373-C,Cambodia
PH0374-C,Cambodia
PH0375-C,Cambodia
PH0377-C,Cambodia
PH0378-C_maj,Cambodia
PH0381-C,Cambodia
PH0382-C,Cambodia
PH0453-C_maj,Cambodia
PH0454-C_maj,Cambodia
PH0456-C,Cambodia
PH0457-CW,Cambodia
PH0458-CW,Cambodia
PH0460-C,Cambodia
PH0462-C,Cambodia
PH0463-C,Cambodia
PH0464-CW,Cambodia
PH0466-C,Cambodia
PH0467-CW,Cambodia
PH0468-C,Cambodia
PH0469-CW_maj,Cambodia
PH0470-C,Cambodia
PH0471-C_maj,Cambodia
PH0473-C,Cambodia
PH0474-CW,Cambodia
PH0475-C_maj,Cambodia
PH0477-C,Cambodia
PH0479-CW_maj,Cambodia
PH0480-C_maj,Cambodia
PH0481-C,Cambodia
PH0482-C,Cambodia
PH0483-CW,Cambodia
PH0484-C,Cambodia
PH0485-C,Cambodia
PH0486-C,Cambodia
PH0487-C_maj,Cambodia
PH0488-C,Cambodia
PH0489-C,Cambodia
PH0490-C,Cambodia
PH0494-CW,Cambodia
PH0495-CW,Cambodia
PH0496-CW,Cambodia
PH0497-CW,Cambodia
PH0498-CW,Cambodia
PH0499-CW,Cambodia
PH0500-CW,Cambodia
PH0501-CW,Cambodia
PH0502-C,Cambodia
PH0506-C,Cambodia
PH0507-C,Cambodia
PH0508-C,Cambodia
PH0513-C,Cambodia
PH0514-C_maj,Cambodia
PH0516-C,Cambodia
PH0517-C,Cambodia
PH0518-C,Cambodia
PH0519-C,Cambodia
PH0520-C,Cambodia
PH0521-C,Cambodia
PH0522-C,Cambodia
PH0523-C,Cambodia
PH0524-C,Cambodia
PH0525-C,Cambodia
PH0526-C,Cambodia
PH0527-C,Cambodia
PH0528-C,Cambodia
PH0529-C,Cambodia
PH0530-C,Cambodia
PH0531-C,Cambodia
PH0532-C,Cambodia
PH0533-C,Cambodia
PH0534-C,Cambodia
PH0537-C,Cambodia
PH0538-C,Cambodia
PH0539-C,Cambodia
PH0540-C,Cambodia
PH0541-C_maj,Cambodia
PH0542-C,Cambodia
PH0544-C,Cambodia
PH0551-C,Cambodia
PH0552-C,Cambodia
PH0553-C,Cambodia
PH0554-C,Cambodia
PH0555-C,Cambodia
PH0556-C,Cambodia
PH0557-C_maj,Cambodia
PH0558-C,Cambodia
PH0559-C,Cambodia
PH0560-C,Cambodia
PH0561-C_maj,Cambodia
PH0562-C,Cambodia
PH0563-C,Cambodia
PH0564-C_maj,Cambodia
PH0565-C,Cambodia
PH0566-C_maj,Cambodia
PH0568-C_maj,Cambodia
PH0569-C,Cambodia
PH0570-C,Cambodia
PH0571-C,Cambodia
PH0573-C_maj,Cambodia
PH0574-C_maj,Cambodia
PH0576-C,Cambodia
PH0578-C,Cambodia
PH0579-C_maj,Cambodia
PH0580-C_maj,Cambodia
PH0582-C,Cambodia
PH0584-C,Cambodia
PH0585-C,Cambodia
PH0586-C,Cambodia
