sample	country	site
PF0089-C	Ghana	Kassena

PF0090-C	Ghana	Kassena

PF0092-C	Ghana	Kassena

PF0095-C	Ghana	Kassena

PF0096-C	Ghana	Kassena

PF0097-C	Ghana	Kassena

PF0098-C	Ghana	Kassena

PF0099-C	Ghana	Kassena

PF0100-C	Ghana	Kassena

PF0101-C	Ghana	Kassena

PF0102-C	Ghana	Kassena

PF0103-C	Ghana	Kassena

PF0104-C	Ghana	Kassena

PF0105-C	Ghana	Kassena

PF0106-C	Ghana	Kassena

PF0107-C	Ghana	Kassena

PF0108-C	Ghana	Kassena

PF0109-C	Ghana	Kassena

PF0111-C	Ghana	Kassena

PF0112-C	Ghana	Kassena

PF0113-C	Ghana	Kassena

PF0114-C	Ghana	Kassena

PF0115-C	Ghana	Kassena

PF0116-C	Ghana	Kassena

PF0117-C	Ghana	Kassena

PF0118-C	Ghana	Kassena

PF0119-C	Ghana	Kassena

PF0121-C	Ghana	Kassena

PF0122-C	Ghana	Kassena

PF0123-C	Ghana	Kassena

PF0124-C	Ghana	Kassena

PF0125-C	Ghana	Kassena

PF0127-C	Ghana	Kassena

PF0128-C	Ghana	Kassena

PF0129-C	Ghana	Kassena

PF0130-C	Ghana	Kassena

PF0131-C	Ghana	Kassena

PF0132-C	Ghana	Kassena

PF0133-C	Ghana	Kassena

PF0134-C	Ghana	Kassena

PF0135-C	Ghana	Kassena

PF0136-C	Ghana	Kassena

PF0137-C	Ghana	Kassena

PF0138-C	Ghana	Kassena

PF0140-C	Ghana	Kassena

PF0141-C	Ghana	Kassena

PF0142-C	Ghana	Kassena

PF0143-C	Ghana	Kassena

PF0144-C	Ghana	Kassena

PF0145-C	Ghana	Kassena

PF0146-C	Ghana	Kassena

PF0147-C	Ghana	Kassena

PF0148-C	Ghana	Kassena

PF0149-C	Ghana	Kassena

PF0150-C	Ghana	Kassena

PF0151-C	Ghana	Kassena

PF0152-C	Ghana	Kassena

PF0153-C	Ghana	Kassena

PF0154-C	Ghana	Kassena

PF0155-C	Ghana	Kassena

PF0156-C	Ghana	Kassena

PF0157-C	Ghana	Kassena

PF0158-C	Ghana	Kassena

PF0159-C	Ghana	Kassena

PF0160-C	Ghana	Kassena

PF0161-C	Ghana	Kassena

PF0162-C	Ghana	Kassena

PF0163-C	Ghana	Kassena

PF0164-C	Ghana	Kassena

PF0166-C	Ghana	Kassena

PF0167-C	Ghana	Kassena

PF0168-C	Ghana	Kassena

PF0169-C	Ghana	Kassena

PF0170-C	Ghana	Kassena

PF0172-C	Ghana	Kassena

PF0175-C	Ghana	Kassena

PF0176-C	Ghana	Kassena

PF0177-C	Ghana	Kassena

PF0178-C	Ghana	Kassena

PF0180-C	Ghana	Kassena

PF0181-C	Ghana	Kassena

PF0184-C	Ghana	Kassena

PF0185-C	Ghana	Kassena

PF0186-C	Ghana	Kassena

PF0188-C	Ghana	Kassena

PF0189-C	Ghana	Kassena

PF0190-C	Ghana	Kassena

PF0191-C	Ghana	Kassena

PF0192-C	Ghana	Kassena

PF0193-C	Ghana	Kassena

PF0195-C	Ghana	Kassena

PF0196-C	Ghana	Kassena

PF0197-C	Ghana	Kassena

PF0198-C	Ghana	Kassena

PF0199-C	Ghana	Kassena

PF0202-C	Ghana	Kassena

PF0203-C	Ghana	Kassena

PF0204-C	Ghana	Kassena

PF0205-C	Ghana	Kassena

PF0206-C	Ghana	Kassena

PF0207-C	Ghana	Kassena

PF0208-C	Ghana	Kassena

PF0211-C	Ghana	Kassena

PF0212-C	Ghana	Kassena

PF0213-C	Ghana	Kassena

PF0214-C	Ghana	Kassena

